X,NACA0012-Re= 2880000-Alpha=10.00, , 
            1,      0.234748, , 
         0.98,     0.1943509, , 
         0.96,     0.1572477, , 
         0.94,     0.1183628, , 
         0.92,    0.08004949, , 
          0.9,    0.04287658, , 
         0.88,   0.007227286, , 
         0.86,   -0.02680455, , 
         0.84,   -0.05917894, , 
         0.82,    -0.0903283, , 
          0.8,    -0.1202089, , 
         0.78,    -0.1491778, , 
         0.76,    -0.1774986, , 
         0.74,    -0.2052973, , 
         0.72,    -0.2326556, , 
          0.7,    -0.2599743, , 
         0.68,    -0.2870707, , 
         0.66,    -0.3144342, , 
         0.64,    -0.3419615, , 
         0.62,    -0.3698479, , 
          0.6,    -0.3980452, , 
         0.58,    -0.4269508, , 
         0.56,    -0.4565144, , 
         0.54,    -0.4867739, , 
         0.52,    -0.5180296, , 
          0.5,    -0.5503365, , 
         0.48,    -0.5835917, , 
         0.46,    -0.6182874, , 
         0.44,    -0.6543555, , 
         0.42,    -0.6918625, , 
          0.4,    -0.7314175, , 
         0.38,    -0.7726974, , 
         0.36,    -0.8163893, , 
         0.34,     -0.862388, , 
         0.32,     -0.911637, , 
          0.3,    -0.9637701, , 
         0.28,     -1.019926, , 
         0.26,     -1.080483, , 
         0.24,     -1.146444, , 
         0.22,     -1.218638, , 
          0.2,     -1.298734, , 
         0.18,      -1.38903, , 
         0.16,     -1.491466, , 
         0.14,     -1.610995, , 
         0.12,     -1.753766, , 
          0.1,     -1.929442, , 
         0.08,     -2.152701, , 
         0.06,     -2.470037, , 
         0.04,     -2.868603, , 
         0.02,     -4.415892, , 
            0,     -4.619996, , 
         0.02,     0.9790725, , 
         0.04,     0.9193493, , 
         0.06,     0.7893411, , 
         0.08,     0.6873876, , 
          0.1,     0.6051423, , 
         0.12,     0.5339377, , 
         0.14,     0.4773481, , 
         0.16,     0.4281761, , 
         0.18,     0.3868329, , 
          0.2,     0.3513443, , 
         0.22,      0.320621, , 
         0.24,     0.2938739, , 
         0.26,     0.2705564, , 
         0.28,     0.2500558, , 
          0.3,     0.2320177, , 
         0.32,     0.2159654, , 
         0.34,     0.2019187, , 
         0.36,     0.1892565, , 
         0.38,     0.1780656, , 
          0.4,      0.167967, , 
         0.42,     0.1590706, , 
         0.44,     0.1509328, , 
         0.46,     0.1436909, , 
         0.48,      0.137212, , 
          0.5,     0.1312539, , 
         0.52,     0.1259981, , 
         0.54,     0.1212377, , 
         0.56,     0.1168576, , 
         0.58,      0.112961, , 
          0.6,     0.1094691, , 
         0.62,     0.1061996, , 
         0.64,     0.1033835, , 
         0.66,     0.1008697, , 
         0.68,    0.09873589, , 
          0.7,    0.09673243, , 
         0.72,    0.09524597, , 
         0.74,    0.09393235, , 
         0.76,    0.09308755, , 
         0.78,     0.0926555, , 
          0.8,    0.09259409, , 
         0.82,    0.09302352, , 
         0.84,    0.09427489, , 
         0.86,     0.0960815, , 
         0.88,    0.09907826, , 
          0.9,     0.1034171, , 
         0.92,      0.109669, , 
         0.94,     0.1186525, , 
         0.96,     0.1316169, , 
         0.98,     0.1425451, , 
            1,      0.234748, , 

